78.192.244.59 - - [04/Jun/2024:08:12:58 +0000] "GET / HTTP/1.1" 404 42 "-" "PostmanRuntime/7.39.0"
78.192.244.59 - - [04/Jun/2024:08:17:16 +0000] "GET / HTTP/1.1" 200 14 "-" "PostmanRuntime/7.39.0"
78.192.244.59 - - [04/Jun/2024:08:17:42 +0000] "GET / HTTP/1.1" 200 14 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
78.192.244.59 - - [04/Jun/2024:08:18:22 +0000] "GET / HTTP/1.1" 200 14 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
78.192.244.59 - - [04/Jun/2024:08:18:22 +0000] "GET /favicon.ico HTTP/1.1" 404 564 "http://eval.bob-datascientest.dns-dynamic.net/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
78.192.244.59 - - [04/Jun/2024:08:27:29 +0000] "GET / HTTP/1.1" 200 14 "-" "PostmanRuntime/7.39.0"
45.156.129.57 - - [04/Jun/2024:08:41:50 +0000] "GET /images/logo.blu.png HTTP/1.1" 404 564 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
198.235.24.115 - - [04/Jun/2024:08:47:47 +0000] "GET / HTTP/1.1" 200 14 "-" "Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com"
45.128.232.203 - - [04/Jun/2024:08:49:04 +0000] "GET / HTTP/1.1" 200 14 "-" "-"
43.157.33.199 - - [04/Jun/2024:08:52:12 +0000] "GET / HTTP/1.1" 200 14 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.3"
78.192.244.59 - - [04/Jun/2024:09:15:16 +0000] "GET / HTTP/1.1" 200 14 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
78.192.244.59 - - [04/Jun/2024:09:16:14 +0000] "GET / HTTP/1.1" 200 10918 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
78.192.244.59 - - [04/Jun/2024:09:16:14 +0000] "GET /icons/ubuntu-logo.png HTTP/1.1" 404 564 "http://eval.bob-datascientest.dns-dynamic.net/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
78.192.244.59 - - [04/Jun/2024:09:17:01 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
78.192.244.59 - - [04/Jun/2024:09:17:01 +0000] "GET /icons/ubuntu-logo.png HTTP/1.1" 404 564 "http://eval.bob-datascientest.dns-dynamic.net/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
78.192.244.59 - - [04/Jun/2024:09:18:26 +0000] "GET / HTTP/1.1" 200 14 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
147.185.132.15 - - [04/Jun/2024:09:21:55 +0000] "\x16\x03\x01\x00\xCA\x01\x00\x00\xC6\x03\x03m\x88\xBF6\xDB\x5C\x0ER`\xA0\xFDy^e\xF2\x15x\xB8yY\xFA_\xD7V\xA2u|\x1FQN,\xB5\x00\x00h\xCC\x14\xCC\x13\xC0/\xC0+\xC00\xC0,\xC0\x11\xC0\x07\xC0'\xC0#\xC0\x13\xC0\x09\xC0(\xC0$\xC0\x14\xC0" 400 166 "-" "-"
147.185.132.15 - - [04/Jun/2024:09:21:55 +0000] "\x16\x03\x01\x00\xEE\x01\x00\x00\xEA\x03\x03/w\x92^\xC9\xF3\x8D\xAFW\xE7\xF5\x14\xB0\xD3R\xF0[Y\xA6\xE3)Wm\xEB\xC3c(6e\x96\x00\x85 \xAD\x18+\x93,\xBF\xDF\xC6\x04\x80bZ1\xAE\xA23\x9B\x8D{4\xB4>o\x03\xD8\xD8\xB7X\xC6>\xA1\xCB\x00&\xC0+\xC0/\xC0,\xC00\xCC\xA9\xCC\xA8\xC0\x09\xC0\x13\xC0" 400 166 "-" "-"
45.156.129.46 - - [04/Jun/2024:09:25:17 +0000] "GET / HTTP/1.1" 200 14 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
78.192.244.59 - - [04/Jun/2024:09:30:28 +0000] "GET / HTTP/1.1" 200 14 "-" "PostmanRuntime/7.39.0"
78.192.244.59 - - [04/Jun/2024:09:30:34 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
